lexical_category_qid	feature_bundle	forms	lexemes	representations	distinct_values
Q147276	Q145599	21	21	21	21
Q147276	Q145599|Q146786	123	111	123	123
Q147276	Q146078	21	21	21	21
Q147276	Q146078|Q146786	123	111	123	123
Q147276	Q146233	104	95	105	105
Q147276	Q146233|Q146786	124	111	124	124
Q1502460		30	8	30	26
Q1502460	Q110786|Q131105|Q1775415	5	5	5	5
Q1502460	Q110786|Q131105|Q1775461	4	4	4	4
Q1502460	Q110786|Q131105|Q499327	5	5	5	5
Q1502460	Q110786|Q145599|Q1775415	1	1	1	1
Q1502460	Q110786|Q145599|Q1775461	1	1	1	1
Q1502460	Q110786|Q145599|Q499327	2	2	2	2
Q1502460	Q110786|Q146078|Q1775415	1	1	1	1
Q1502460	Q110786|Q146078|Q1775461	1	1	1	1
Q1502460	Q110786|Q146078|Q499327	1	1	1	1
Q1502460	Q110786|Q146233|Q1775415	2	2	2	2
Q1502460	Q110786|Q146233|Q1775461	1	1	1	1
Q1502460	Q110786|Q146233|Q499327	2	2	2	2
Q1502460	Q131105|Q146786	4	4	4	4
Q1502460	Q145599|Q146786	2	2	2	2
Q1502460	Q146078|Q146786	1	1	1	1
Q1502460	Q146233|Q146786	1	1	1	1
Q161873		1	1	1	1
Q184511		1	1	1	1
Q184511	Q100952920	1	1	1	1
Q184511	Q10345583	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q21714344|Q55685962	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q21714344|Q682111	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q22716|Q51929049	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q51929049|Q55685962	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q51929049|Q682111	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q51929074|Q55685962	1	1	1	1
Q184511	Q110786|Q1317831|Q192613|Q51929074|Q682111	1	1	1	1
Q184511	Q110786|Q1317831|Q21714344|Q442485|Q54671845	1	1	1	1
Q184511	Q110786|Q1317831|Q21714344|Q442485|Q682111	1	1	1	1
Q184511	Q110786|Q1317831|Q442485|Q51929049|Q54671845	1	1	1	1
Q184511	Q110786|Q1317831|Q442485|Q51929049|Q682111	1	1	1	1
Q184511	Q110786|Q1317831|Q442485|Q51929074|Q54671845	1	1	1	1
Q184511	Q110786|Q1317831|Q442485|Q51929074|Q682111	1	1	1	1
Q184511	Q12717679	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q21714344|Q55685962	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q21714344|Q682111	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q22716|Q51929049	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q51929049|Q55685962	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q51929049|Q682111	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q51929074|Q55685962	1	1	1	1
Q184511	Q1317831|Q146786|Q192613|Q51929074|Q682111	1	1	1	1
Q184511	Q1317831|Q146786|Q21714344|Q442485|Q54671845	1	1	1	1
Q184511	Q1317831|Q146786|Q21714344|Q442485|Q682111	1	1	1	1
Q184511	Q1317831|Q146786|Q442485|Q51929049|Q54671845	2	1	2	2
Q184511	Q1317831|Q146786|Q442485|Q51929049|Q682111	1	1	1	1
Q184511	Q1317831|Q146786|Q442485|Q51929074|Q54671845	1	1	1	1
Q184511	Q1317831|Q146786|Q442485|Q51929074|Q682111	1	1	1	1
Q184511	Q179230	1	1	1	1
Q184943		70	70	70	68
Q187931		14	12	14	14
Q1964223		1	1	1	1
Q1964223	Q102786	1	1	1	1
Q24905		5	5	5	5
Q24905	Q100952920	10696	10696	10696	10686
Q24905	Q100952920|Q1317831|Q625420	1	1	1	1
Q24905	Q100952920|Q192613	7	7	7	6
Q24905	Q100952920|Q192613|Q55698471	1	1	1	1
Q24905	Q100952920|Q192613|Q55698475	1	1	1	1
Q24905	Q100952920|Q55698471|Q625420	1	1	1	1
Q24905	Q100952920|Q55698475|Q625420	1	1	1	1
Q24905	Q100952920|Q625420	5	5	5	5
Q24905	Q10345583	16303	16303	16303	16287
Q24905	Q10345583|Q1317831|Q192613	2	2	2	2
Q24905	Q110786|Q1317831|Q146786|Q192613|Q22716|Q51929049	1	1	1	1
Q24905	Q110786|Q1317831|Q192613|Q21714344	1	1	1	1
Q24905	Q110786|Q1317831|Q192613|Q21714344|Q55685962	21661	18634	21661	21636
Q24905	Q110786|Q1317831|Q192613|Q21714344|Q682111	21941	18891	21942	21923
Q24905	Q110786|Q1317831|Q192613|Q22716|Q371427|Q51929049	1	1	1	1
Q24905	Q110786|Q1317831|Q192613|Q22716|Q51929049	34805	18549	34807	34773
Q24905	Q110786|Q1317831|Q192613|Q22716|Q51929049|Q55228835	1	1	1	1
Q24905	Q110786|Q1317831|Q192613|Q22716|Q51929049|Q682111	1	1	1	1
Q24905	Q110786|Q1317831|Q192613|Q51929049|Q55685962	20314	18634	20314	20299
Q24905	Q110786|Q1317831|Q192613|Q51929049|Q682111	18771	18764	18774	18711
Q24905	Q110786|Q1317831|Q192613|Q51929074|Q55685962	21667	18639	21667	21649
Q24905	Q110786|Q1317831|Q192613|Q51929074|Q682111	18777	18767	18780	18748
Q24905	Q110786|Q1317831|Q21714344|Q3481903|Q442485|Q54671845	1	1	1	1
Q24905	Q110786|Q1317831|Q21714344|Q3481903|Q442485|Q682111	1	1	1	1
Q24905	Q110786|Q1317831|Q21714344|Q442485|Q54671845	18762	18632	18764	18738
Q24905	Q110786|Q1317831|Q21714344|Q442485|Q54671845|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q21714344|Q442485|Q682111	18943	18809	18945	18815
Q24905	Q110786|Q1317831|Q21714344|Q442485|Q682111|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q21714344|Q501405|Q682111	3	3	3	3
Q24905	Q110786|Q1317831|Q21714344|Q623742|Q682111	4	4	4	4
Q24905	Q110786|Q1317831|Q21714344|Q625420|Q682111	4	4	4	4
Q24905	Q110786|Q1317831|Q22716	4	2	4	4
Q24905	Q110786|Q1317831|Q3481903|Q442485|Q51929049|Q54671845	1	1	1	1
Q24905	Q110786|Q1317831|Q3481903|Q442485|Q51929049|Q682111	1	1	1	1
Q24905	Q110786|Q1317831|Q3481903|Q442485|Q51929074|Q54671845	1	1	1	1
Q24905	Q110786|Q1317831|Q3481903|Q442485|Q51929074|Q682111	1	1	1	1
Q24905	Q110786|Q1317831|Q442485|Q51929049|Q54671845	18886	18632	18888	18860
Q24905	Q110786|Q1317831|Q442485|Q51929049|Q54671845|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q442485|Q51929049|Q682111	19959	18807	19961	19821
Q24905	Q110786|Q1317831|Q442485|Q51929049|Q682111|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q442485|Q51929074|Q54671845	18767	18637	18769	18742
Q24905	Q110786|Q1317831|Q442485|Q51929074|Q54671845|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q442485|Q51929074|Q682111	18949	18816	18951	18820
Q24905	Q110786|Q1317831|Q442485|Q51929074|Q682111|Q7977953	1	1	1	1
Q24905	Q110786|Q1317831|Q501405|Q51929049|Q682111	3	3	3	3
Q24905	Q110786|Q1317831|Q501405|Q51929074|Q682111	3	3	3	3
Q24905	Q110786|Q1317831|Q51929049|Q623742|Q682111	4	4	4	4
Q24905	Q110786|Q1317831|Q51929049|Q625420|Q682111	4	4	4	4
Q24905	Q110786|Q1317831|Q51929074|Q623742|Q682111	4	4	4	4
Q24905	Q110786|Q1317831|Q51929074|Q625420|Q682111	4	4	4	4
Q24905	Q110786|Q192613|Q21714344	9	9	9	7
Q24905	Q110786|Q192613|Q21714344|Q55685962	1	1	1	1
Q24905	Q110786|Q192613|Q21714344|Q55698471	1	1	1	1
Q24905	Q110786|Q192613|Q21714344|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q192613|Q21714344|Q682111	15	15	15	13
Q24905	Q110786|Q192613|Q22716	7	3	7	7
Q24905	Q110786|Q192613|Q51929049	9	9	9	7
Q24905	Q110786|Q192613|Q51929049|Q55685962	1	1	1	1
Q24905	Q110786|Q192613|Q51929049|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q192613|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q192613|Q51929049|Q682111	14	14	14	12
Q24905	Q110786|Q192613|Q51929074	9	9	9	7
Q24905	Q110786|Q192613|Q51929074|Q55685962	1	1	1	1
Q24905	Q110786|Q192613|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q192613|Q51929074|Q682111	17	17	17	15
Q24905	Q110786|Q21714344|Q442485	8	8	8	6
Q24905	Q110786|Q21714344|Q442485|Q54671845	1	1	1	1
Q24905	Q110786|Q21714344|Q442485|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q442485|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q442485|Q682111	14	14	14	12
Q24905	Q110786|Q21714344|Q501405	6	6	6	4
Q24905	Q110786|Q21714344|Q501405|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q501405|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q501405|Q682111	6	6	6	5
Q24905	Q110786|Q21714344|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q21714344|Q623742	2	2	2	2
Q24905	Q110786|Q21714344|Q623742|Q682111	8	8	8	8
Q24905	Q110786|Q21714344|Q625420	3	3	3	3
Q24905	Q110786|Q21714344|Q625420|Q682111	9	9	9	9
Q24905	Q110786|Q22716	3	2	3	3
Q24905	Q110786|Q22716|Q625420	1	1	1	1
Q24905	Q110786|Q371427	1	1	1	1
Q24905	Q110786|Q442485|Q51929049	8	8	8	6
Q24905	Q110786|Q442485|Q51929049|Q54671845	2	1	2	2
Q24905	Q110786|Q442485|Q51929049|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q442485|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q442485|Q51929049|Q682111	19	17	19	17
Q24905	Q110786|Q442485|Q51929074	8	8	8	6
Q24905	Q110786|Q442485|Q51929074|Q54671845	1	1	1	1
Q24905	Q110786|Q442485|Q51929074|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q442485|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q442485|Q51929074|Q682111	15	15	15	13
Q24905	Q110786|Q501405|Q51929049	6	6	6	4
Q24905	Q110786|Q501405|Q51929049|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q501405|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q501405|Q51929049|Q682111	6	6	6	5
Q24905	Q110786|Q501405|Q51929074	6	6	6	4
Q24905	Q110786|Q501405|Q51929074|Q55698471|Q682111	1	1	1	1
Q24905	Q110786|Q501405|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q110786|Q501405|Q51929074|Q682111	6	6	6	5
Q24905	Q110786|Q51929049|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q51929049|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q51929049|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q51929049|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q51929049|Q623742	2	2	2	2
Q24905	Q110786|Q51929049|Q623742|Q682111	9	8	9	9
Q24905	Q110786|Q51929049|Q625420	3	3	3	3
Q24905	Q110786|Q51929049|Q625420|Q682111	9	9	9	9
Q24905	Q110786|Q51929074|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q51929074|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q51929074|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q110786|Q51929074|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q110786|Q51929074|Q623742	2	2	2	2
Q24905	Q110786|Q51929074|Q623742|Q682111	10	9	10	10
Q24905	Q110786|Q51929074|Q625420	3	3	3	3
Q24905	Q110786|Q51929074|Q625420|Q682111	10	10	10	10
Q24905	Q126729404	1	1	1	1
Q24905	Q12717679	18785	18666	18787	18720
Q24905	Q12717679|Q1317831	2	2	2	2
Q24905	Q12717679|Q3481903	1	1	1	1
Q24905	Q12717679|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q192613|Q21714344|Q55685962	18633	18633	18633	18618
Q24905	Q1317831|Q146786|Q192613|Q21714344|Q682111	18748	18748	18748	18731
Q24905	Q1317831|Q146786|Q192613|Q22716|Q371427|Q51929049	1	1	1	1
Q24905	Q1317831|Q146786|Q192613|Q22716|Q51929049	18551	18549	18553	18537
Q24905	Q1317831|Q146786|Q192613|Q51929049|Q55685962	20311	18633	20311	20296
Q24905	Q1317831|Q146786|Q192613|Q51929049|Q682111	18750	18746	18753	18735
Q24905	Q1317831|Q146786|Q192613|Q51929074|Q55685962	18638	18638	18638	18622
Q24905	Q1317831|Q146786|Q192613|Q51929074|Q682111	18751	18751	18751	18733
Q24905	Q1317831|Q146786|Q21714344|Q3481903|Q442485|Q54671845	1	1	1	1
Q24905	Q1317831|Q146786|Q21714344|Q3481903|Q442485|Q682111	1	1	1	1
Q24905	Q1317831|Q146786|Q21714344|Q442485|Q54671845	18762	18632	18764	18738
Q24905	Q1317831|Q146786|Q21714344|Q442485|Q54671845|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q21714344|Q442485|Q682111	18939	18806	18941	18809
Q24905	Q1317831|Q146786|Q21714344|Q442485|Q682111|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q21714344|Q501405|Q682111	3	3	3	3
Q24905	Q1317831|Q146786|Q21714344|Q623742|Q682111	4	4	4	4
Q24905	Q1317831|Q146786|Q21714344|Q625420|Q682111	4	4	4	4
Q24905	Q1317831|Q146786|Q22716	2	2	2	2
Q24905	Q1317831|Q146786|Q3481903|Q442485|Q51929049|Q54671845	1	1	1	1
Q24905	Q1317831|Q146786|Q3481903|Q442485|Q51929049|Q682111	1	1	1	1
Q24905	Q1317831|Q146786|Q3481903|Q442485|Q51929074|Q54671845	1	1	1	1
Q24905	Q1317831|Q146786|Q3481903|Q442485|Q51929074|Q682111	1	1	1	1
Q24905	Q1317831|Q146786|Q442485|Q51929049|Q54671845	18881	18632	18883	18856
Q24905	Q1317831|Q146786|Q442485|Q51929049|Q54671845|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q442485|Q51929049|Q682111	18939	18805	18941	18811
Q24905	Q1317831|Q146786|Q442485|Q51929049|Q682111|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q442485|Q51929074|Q54671845	18767	18637	18769	18742
Q24905	Q1317831|Q146786|Q442485|Q51929074|Q54671845|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q442485|Q51929074|Q682111	18946	18813	18948	18815
Q24905	Q1317831|Q146786|Q442485|Q51929074|Q682111|Q7977953	1	1	1	1
Q24905	Q1317831|Q146786|Q501405|Q51929049|Q682111	3	3	3	3
Q24905	Q1317831|Q146786|Q501405|Q51929074|Q682111	3	3	3	3
Q24905	Q1317831|Q146786|Q51929049|Q623742|Q682111	4	4	4	4
Q24905	Q1317831|Q146786|Q51929049|Q625420|Q682111	4	4	4	4
Q24905	Q1317831|Q146786|Q51929074|Q623742|Q682111	4	4	4	4
Q24905	Q1317831|Q146786|Q51929074|Q625420|Q682111	4	4	4	4
Q24905	Q1317831|Q179230	2	2	2	2
Q24905	Q1317831|Q179230|Q192613	3	3	3	3
Q24905	Q1317831|Q179230|Q625420	2	2	2	2
Q24905	Q1317831|Q192613|Q22716|Q51929049	2	2	2	2
Q24905	Q1424306|Q179230	1	1	1	1
Q24905	Q146786|Q192613|Q21714344	9	9	9	7
Q24905	Q146786|Q192613|Q21714344|Q55685962	1	1	1	1
Q24905	Q146786|Q192613|Q21714344|Q55685962|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q21714344|Q55698471	1	1	1	1
Q24905	Q146786|Q192613|Q21714344|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q21714344|Q682111	13	13	13	11
Q24905	Q146786|Q192613|Q22716	3	3	3	3
Q24905	Q146786|Q192613|Q51929049	9	9	9	7
Q24905	Q146786|Q192613|Q51929049|Q55685962	1	1	1	1
Q24905	Q146786|Q192613|Q51929049|Q55685962|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q51929049|Q55698471	1	1	1	1
Q24905	Q146786|Q192613|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q51929049|Q682111	14	14	14	12
Q24905	Q146786|Q192613|Q51929074	9	9	9	7
Q24905	Q146786|Q192613|Q51929074|Q55685962	1	1	1	1
Q24905	Q146786|Q192613|Q51929074|Q55685962|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q51929074|Q55698471	1	1	1	1
Q24905	Q146786|Q192613|Q51929074|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q192613|Q51929074|Q682111	14	14	14	12
Q24905	Q146786|Q21714344|Q22716	1	1	1	1
Q24905	Q146786|Q21714344|Q442485	8	8	8	6
Q24905	Q146786|Q21714344|Q442485|Q54671845	1	1	1	1
Q24905	Q146786|Q21714344|Q442485|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q442485|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q442485|Q682111	15	15	15	13
Q24905	Q146786|Q21714344|Q501405	6	6	6	4
Q24905	Q146786|Q21714344|Q501405|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q501405|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q501405|Q682111	6	6	6	5
Q24905	Q146786|Q21714344|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q21714344|Q623742	2	2	2	2
Q24905	Q146786|Q21714344|Q623742|Q682111	8	8	8	8
Q24905	Q146786|Q21714344|Q625420	3	3	3	3
Q24905	Q146786|Q21714344|Q625420|Q682111	8	8	8	8
Q24905	Q146786|Q22716	3	3	3	3
Q24905	Q146786|Q22716|Q51929074	1	1	1	1
Q24905	Q146786|Q22716|Q625420	1	1	1	1
Q24905	Q146786|Q442485|Q51929049	8	8	8	6
Q24905	Q146786|Q442485|Q51929049|Q54671845	2	1	2	2
Q24905	Q146786|Q442485|Q51929049|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q442485|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q442485|Q51929049|Q682111	13	13	13	11
Q24905	Q146786|Q442485|Q51929074	8	8	8	6
Q24905	Q146786|Q442485|Q51929074|Q54671845	1	1	1	1
Q24905	Q146786|Q442485|Q51929074|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q442485|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q442485|Q51929074|Q682111	15	15	15	13
Q24905	Q146786|Q501405|Q51929049	7	6	7	5
Q24905	Q146786|Q501405|Q51929049|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q501405|Q51929049|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q501405|Q51929049|Q682111	6	6	6	5
Q24905	Q146786|Q501405|Q51929074	5	5	5	4
Q24905	Q146786|Q501405|Q51929074|Q55698471|Q682111	1	1	1	1
Q24905	Q146786|Q501405|Q51929074|Q55698475|Q682111	1	1	1	1
Q24905	Q146786|Q501405|Q51929074|Q682111	6	6	6	5
Q24905	Q146786|Q51929049|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q51929049|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q51929049|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q51929049|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q51929049|Q623742	2	2	2	2
Q24905	Q146786|Q51929049|Q623742|Q682111	7	7	7	7
Q24905	Q146786|Q51929049|Q625420	2	2	2	2
Q24905	Q146786|Q51929049|Q625420|Q682111	8	8	8	8
Q24905	Q146786|Q51929074|Q55698471|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q51929074|Q55698471|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q51929074|Q55698475|Q623742|Q682111	1	1	1	1
Q24905	Q146786|Q51929074|Q55698475|Q625420|Q682111	1	1	1	1
Q24905	Q146786|Q51929074|Q623742	2	2	2	2
Q24905	Q146786|Q51929074|Q623742|Q682111	8	8	8	8
Q24905	Q146786|Q51929074|Q625420	2	2	2	2
Q24905	Q146786|Q51929074|Q625420|Q682111	9	9	9	9
Q24905	Q179230	19076	19075	19076	19044
Q24905	Q179230|Q192613	33	32	33	31
Q24905	Q179230|Q192613|Q55698471	1	1	1	1
Q24905	Q179230|Q192613|Q55698475	1	1	1	1
Q24905	Q179230|Q55698471|Q625420	1	1	1	1
Q24905	Q179230|Q55698475|Q625420	1	1	1	1
Q24905	Q179230|Q625420	8	8	8	7
Q24905	Q1923028	1	1	1	1
Q24905	Q192613|Q51929074	1	1	1	1
Q24905	Q442485	1	1	1	1
Q24905	Q442485|Q51929074	1	1	1	1
Q24905	Q501405|Q51929074	1	1	1	1
Q24905	Q51929074|Q623742	1	1	1	1
Q24905	Q51929074|Q625420	1	1	1	1
Q24905	Q52434245	9	9	9	7
Q2865743	Q110786|Q131105|Q1775415	1	1	1	1
Q2865743	Q110786|Q131105|Q1775461	1	1	1	1
Q2865743	Q110786|Q131105|Q499327	1	1	1	1
Q2865743	Q110786|Q145599|Q1775415	1	1	1	1
Q2865743	Q110786|Q145599|Q1775461	1	1	1	1
Q2865743	Q110786|Q145599|Q499327	1	1	1	1
