kind	context	id	count	subjects
property	statement	P6597	15	15
property	statement	P6684	3	3
property	statement	P7243	2	1
property	statement	P7481	49	49
property	statement	P7706	33	33
property	statement	P805	1	1
property	statement	P8376	155147	155038
property	statement	P8394	35	33
property	statement	P8471	48	47
property	statement	P8530	102	102
property	statement	P854	1	1
property	statement	P898	7085	6903
property	statement	P921	5	5
property	statement	P9295	21	21
property	statement	P9384	8609	8609
property	statement	P9385	50030	50024
property	statement	P9386	15656	15652
property	statement	P9387	35169	35152
property	statement	P9388	17883	17879
property	statement	P9389	8949	8935
property	statement	P9390	7336	7336
property	statement	P9488	655	613
property	statement	P958	1	1
property	statement	P9660	2	2
property	statement	P973	2555	1510
property	statement	P9940	234251	234175
property	statement	P9947	84981	84981
property	statement	P9970	631	627
property	statement	P9971	39	25
qid	entity_language	Q188	241967	241967
qid	form_feature	Q100952920	10714	10704
qid	form_feature	Q102786	2	2
qid	form_feature	Q10345583	16306	16306
qid	form_feature	Q107614077	378	372
qid	form_feature	Q110786	1025756	197728
qid	form_feature	Q126729404	1	1
qid	form_feature	Q12717679	18790	18670
qid	form_feature	Q131105	344075	179842
qid	form_feature	Q1317831	517961	18955
qid	form_feature	Q14169499	2320	2045
qid	form_feature	Q1424306	1	1
qid	form_feature	Q145599	344165	179785
qid	form_feature	Q146078	344041	179735
qid	form_feature	Q146233	374581	179739
qid	form_feature	Q146786	899337	179187
qid	form_feature	Q1775415	454	65
qid	form_feature	Q1775461	469	78
qid	form_feature	Q179230	19131	19118
qid	form_feature	Q1817208	2252	2028
qid	form_feature	Q1923028	1	1
qid	form_feature	Q192613	290562	18945
qid	form_feature	Q1931259	28407	24230
qid	form_feature	Q21714344	156612	18968
qid	form_feature	Q22716	53391	18563
qid	form_feature	Q3481903	681	43
qid	form_feature	Q3482678	25704	24427
qid	form_feature	Q371427	3	3
qid	form_feature	Q442485	227698	18843
qid	form_feature	Q4818723	146	41
qid	form_feature	Q499327	479	82
qid	form_feature	Q501405	103	16
qid	form_feature	Q51929049	208403	18873
qid	form_feature	Q51929074	153495	18878
qid	form_feature	Q52434245	9	9
qid	form_feature	Q54671845	112852	18640
qid	form_feature	Q55094451	2	2
qid	form_feature	Q55228835	1	1
qid	form_feature	Q55685962	121239	18641
qid	form_feature	Q55698471	34	1
qid	form_feature	Q55698475	34	1
qid	form_feature	Q56352306	22	4
qid	form_feature	Q57156426	2	1
qid	form_feature	Q57156560	2	1
qid	form_feature	Q623742	99	16
qid	form_feature	Q625420	128	19
qid	form_feature	Q682111	230880	18967
qid	form_feature	Q77768790	6	1
qid	form_feature	Q7977953	512	29
qid	form_feature	Q80071	1	1
qid	form_feature	Q953129	24	12
qid	form_feature	Q96407524	466	22
qid	lexical_category	Q102047	310	310
qid	lexical_category	Q102786	11	11
qid	lexical_category	Q104692917	1	1
qid	lexical_category	Q1050744	4	4
qid	lexical_category	Q1084	188942	188942
qid	lexical_category	Q10976085	7	7
qid	lexical_category	Q1122269	4	4
qid	lexical_category	Q1153504	1	1
qid	lexical_category	Q12355361	1	1
qid	lexical_category	Q126473	28	28
qid	lexical_category	Q134830	337	337
qid	lexical_category	Q1401131	9	9
qid	lexical_category	Q147276	1196	1196
qid	lexical_category	Q1502460	9	9
qid	lexical_category	Q161873	1	1
qid	lexical_category	Q184511	3	3
qid	lexical_category	Q184943	70	70
qid	lexical_category	Q187931	24	24
qid	lexical_category	Q1964223	1	1
qid	lexical_category	Q210523	1	1
qid	lexical_category	Q24905	20422	20422
qid	lexical_category	Q2865743	2	2
qid	lexical_category	Q3257782	1	1
qid	lexical_category	Q3397768	1	1
qid	lexical_category	Q34698	26862	26862
qid	lexical_category	Q34793275	3	3
qid	lexical_category	Q35102	34	34
qid	lexical_category	Q358417	1	1
qid	lexical_category	Q36484	119	119
qid	lexical_category	Q380057	2656	2656
qid	lexical_category	Q3813849	1	1
qid	lexical_category	Q41796	1	1
qid	lexical_category	Q468801	16	16
qid	lexical_category	Q4833830	196	196
qid	lexical_category	Q54310231	2	2
qid	lexical_category	Q54792077	8	8
qid	lexical_category	Q576271	1	1
qid	lexical_category	Q63116	243	243
qid	lexical_category	Q7188068	1	1
qid	lexical_category	Q83034	410	410
qid	lexical_category	Q956030	27	27
qid	qualifier_value	Q101583900	1	1
qid	qualifier_value	Q101583918	61	61
qid	qualifier_value	Q102046762	54	54
qid	qualifier_value	Q102786	3	3
qid	qualifier_value	Q10401368	32	32
qid	qualifier_value	Q10401562	12	12
qid	qualifier_value	Q104597585	1	1
qid	qualifier_value	Q10547483	3	3
qid	qualifier_value	Q10714103	8	8
qid	qualifier_value	Q107356532	8	8
qid	qualifier_value	Q108696977	14	14
qid	qualifier_value	Q1094061	1	1
qid	qualifier_value	Q110143752	2	2
qid	qualifier_value	Q112775323	1	1
qid	qualifier_value	Q113117687	1	1
qid	qualifier_value	Q113155270	20	20
qid	qualifier_value	Q113928793	1	1
qid	qualifier_value	Q115819543	37	37
qid	qualifier_value	Q115942947	2	2
qid	qualifier_value	Q11655558	2	2
qid	qualifier_value	Q1167104	1	1
qid	qualifier_value	Q123190215	4	4
qid	qualifier_value	Q123190221	4	4
qid	qualifier_value	Q12721176	1303	1303
qid	qualifier_value	Q128048896	1738	1738
qid	qualifier_value	Q131105	15	15
qid	qualifier_value	Q134316	7	7
qid	qualifier_value	Q1345001	2	2
qid	qualifier_value	Q1366643	1	1
qid	qualifier_value	Q1402059	1	1
qid	qualifier_value	Q140522598	1	1
qid	qualifier_value	Q140522646	3	3
qid	qualifier_value	Q1443347	1	1
qid	qualifier_value	Q145599	1	1
qid	qualifier_value	Q146078	10	10
qid	qualifier_value	Q150	1	1
qid	qualifier_value	Q164573	32	32
qid	qualifier_value	Q16880074	1	1
qid	qualifier_value	Q1775415	1	1
qid	qualifier_value	Q1783534	1	1
qid	qualifier_value	Q1860	2	2
qid	qualifier_value	Q1868542	1	1
qid	qualifier_value	Q188	85	85
qid	qualifier_value	Q204826	2	2
qid	qualifier_value	Q2105891	1	1
qid	qualifier_value	Q21087228	2	2
qid	qualifier_value	Q2586165	2	2
qid	qualifier_value	Q2648169	1	1
qid	qualifier_value	Q279350	2	2
qid	qualifier_value	Q28833099	1	1
qid	qualifier_value	Q28962310	2	2
qid	qualifier_value	Q28962312	8	8
qid	qualifier_value	Q295937	1	1
qid	qualifier_value	Q2990574	19	19
qid	qualifier_value	Q306626	53	53
qid	qualifier_value	Q3186774	1	1
qid	qualifier_value	Q3366868	51	51
qid	qualifier_value	Q3685150	2	2
qid	qualifier_value	Q3685154	2	2
qid	qualifier_value	Q3685162	1	1
qid	qualifier_value	Q39	3	3
qid	qualifier_value	Q3960579	12	12
qid	qualifier_value	Q40	11	11
qid	qualifier_value	Q4120638	1	1
qid	qualifier_value	Q45403344	14	14
qid	qualifier_value	Q46519	4	4
qid	qualifier_value	Q465800	1	1
qid	qualifier_value	Q497778	2	2
qid	qualifier_value	Q499327	2	2
qid	qualifier_value	Q511823	4	4
qid	qualifier_value	Q5313935	1	1
qid	qualifier_value	Q55951821	2	2
qid	qualifier_value	Q55965107	3	3
qid	qualifier_value	Q56352306	33	33
qid	qualifier_value	Q56474	1	1
qid	qualifier_value	Q576271	13	13
qid	qualifier_value	Q59342809	2	2
qid	qualifier_value	Q63315203	2	2
qid	qualifier_value	Q64018348	1	1
qid	qualifier_value	Q6581097	1	1
qid	qualifier_value	Q682136	1	1
qid	qualifier_value	Q728001	1	1
qid	qualifier_value	Q73624591	49	49
qid	qualifier_value	Q8157228	1	1
qid	qualifier_value	Q84048852	1	1
qid	qualifier_value	Q845079	1	1
qid	qualifier_value	Q853463	4	4
qid	qualifier_value	Q875690	2	2
qid	qualifier_value	Q9035	1	1
qid	qualifier_value	Q91013007	1	1
qid	qualifier_value	Q9380060	327	327
qid	qualifier_value	Q96922	4	4
qid	qualifier_value	Q980	2	2
qid	statement_value	Q1	6	6
qid	statement_value	Q1000	1	1
qid	statement_value	Q1001329	1	1
qid	statement_value	Q100146275	2	2
qid	statement_value	Q100188	1	1
qid	statement_value	Q100196	1	1
qid	statement_value	Q1002182	1	1
qid	statement_value	Q100249818	1	1
qid	statement_value	Q100251705	2	2
qid	statement_value	Q100285281	1	1
qid	statement_value	Q1003030	1	1
qid	statement_value	Q1003466	1	1
qid	statement_value	Q100348587	1	1
qid	statement_value	Q1004	1	1
qid	statement_value	Q100440056	1	1
qid	statement_value	Q100450210	2	2
qid	statement_value	Q1005	1	1
qid	statement_value	Q1005397	1	1
qid	statement_value	Q1005416	1	1
qid	statement_value	Q1005420	1	1
qid	statement_value	Q1005490	1	1
qid	statement_value	Q100552500	1	1
qid	statement_value	Q100552658	11	11
qid	statement_value	Q1005815	1	1
qid	statement_value	Q1005829	1	1
qid	statement_value	Q1005947	1	1
qid	statement_value	Q1006	1	1
qid	statement_value	Q1006074	1	1
qid	statement_value	Q1006079	1	1
qid	statement_value	Q1006082	1	1
qid	statement_value	Q1006269	1	1
qid	statement_value	Q1006360	1	1
qid	statement_value	Q1006365	1	1
qid	statement_value	Q1006612	2	2
qid	statement_value	Q1006644	1	1
qid	statement_value	Q1006733	1	1
qid	statement_value	Q1006835	1	1
qid	statement_value	Q1007	1	1
qid	statement_value	Q100706124	1	1
qid	statement_value	Q100706139	1	1
qid	statement_value	Q100709106	1	1
qid	statement_value	Q10076267	1	1
qid	statement_value	Q100778282	1	1
qid	statement_value	Q1008	1	1
qid	statement_value	Q100805023	2	2
qid	statement_value	Q1009	3	3
qid	statement_value	Q1009249	1	1
qid	statement_value	Q100926628	1	1
qid	statement_value	Q1010	1	1
qid	statement_value	Q101038	1	1
qid	statement_value	Q101044775	1	1
qid	statement_value	Q101072	2	2
qid	statement_value	Q101079585	1	1
qid	statement_value	Q101096049	1	1
qid	statement_value	Q1011	1	1
qid	statement_value	Q1011078	1	1
qid	statement_value	Q101166903	1	1
qid	statement_value	Q101183911	1	1
qid	statement_value	Q101189416	1	1
qid	statement_value	Q101209934	1	1
qid	statement_value	Q101244	3	3
qid	statement_value	Q101244523	1	1
qid	statement_value	Q1013	1	1
qid	statement_value	Q101333	2	2
qid	statement_value	Q10134	1	1
qid	statement_value	Q101352	21	21
qid	statement_value	Q101395	1	1
qid	statement_value	Q1014	1	1
qid	statement_value	Q101401	1	1
qid	statement_value	Q101444477	1	1
qid	statement_value	Q101444601	1	1
qid	statement_value	Q101444631	1	1
qid	statement_value	Q101444738	1	1
qid	statement_value	Q101444758	1	1
qid	statement_value	Q101445630	1	1
qid	statement_value	Q10145	1	1
qid	statement_value	Q101500220	1	1
qid	statement_value	Q101538	1	1
qid	statement_value	Q101539	1	1
qid	statement_value	Q101539678	1	1
qid	statement_value	Q101574237	1	1
qid	statement_value	Q101583918	3	3
qid	statement_value	Q1016	3	3
qid	statement_value	Q101609	1	1
qid	statement_value	Q101647823	1	1
qid	statement_value	Q101667	1	1
qid	statement_value	Q101674	1	1
qid	statement_value	Q101687	1	1
qid	statement_value	Q1017	3	3
qid	statement_value	Q101805	1	1
qid	statement_value	Q1018075	3	3
qid	statement_value	Q1018079	1	1
qid	statement_value	Q1018113	1	1
qid	statement_value	Q101815	1	1
qid	statement_value	Q101873	1	1
qid	statement_value	Q101879	1	1
qid	statement_value	Q1019	1	1
qid	statement_value	Q101929	1	1
qid	statement_value	Q101965	1	1
qid	statement_value	Q101971	1	1
qid	statement_value	Q101991	1	1
qid	statement_value	Q101998	1	1
qid	statement_value	Q1020	1	1
qid	statement_value	Q102014	3	3
qid	statement_value	Q102035949	1	1
qid	statement_value	Q1020452	1	1
qid	statement_value	Q102047	1	1
qid	statement_value	Q102050538	3	3
qid	statement_value	Q102050923	3	3
qid	statement_value	Q102059	1	1
qid	statement_value	Q102066	2	2
qid	statement_value	Q1020994	2	2
qid	statement_value	Q1021	1	1
qid	statement_value	Q10210	1	1
qid	statement_value	Q1021290	1	1
qid	statement_value	Q1021386	1	1
qid	statement_value	Q102163551	1	1
qid	statement_value	Q102165	1	1
qid	statement_value	Q1021664	1	1
qid	statement_value	Q1021686	1	1
qid	statement_value	Q102179382	1	1
qid	statement_value	Q102192	1	1
qid	statement_value	Q102193349	1	1
qid	statement_value	Q1022	2	2
qid	statement_value	Q1022113	1	1
qid	statement_value	Q102225420	1	1
qid	statement_value	Q1022293	1	1
qid	statement_value	Q102277154	1	1
qid	statement_value	Q102296	1	1
qid	statement_value	Q102358908	1	1
qid	statement_value	Q102365	1	1
qid	statement_value	Q102424699	1	1
qid	statement_value	Q102429885	1	1
qid	statement_value	Q102477	1	1
qid	statement_value	Q102496	1	1
qid	statement_value	Q1025	2	2
qid	statement_value	Q10251	1	1
qid	statement_value	Q102532	1	1
qid	statement_value	Q102538	1	1
qid	statement_value	Q102561	1	1
qid	statement_value	Q1026	1	1
qid	statement_value	Q102626	3	3
qid	statement_value	Q1027	1	1
qid	statement_value	Q10273457	1	1
qid	statement_value	Q102786	13	13
qid	statement_value	Q1027879	1	1
qid	statement_value	Q102798	1	1
qid	statement_value	Q1028	2	2
qid	statement_value	Q10280358	1	1
qid	statement_value	Q1028181	2	2
qid	statement_value	Q10282403	1	1
qid	statement_value	Q102836	1	1
qid	statement_value	Q102843	1	1
qid	statement_value	Q10285	1	1
qid	statement_value	Q10285998	1	1
qid	statement_value	Q1028884	1	1
qid	statement_value	Q10289	1	1
qid	statement_value	Q1029	1	1
qid	statement_value	Q10290214	1	1
qid	statement_value	Q102904	1	1
qid	statement_value	Q10290970	1	1
qid	statement_value	Q102932	1	1
qid	statement_value	Q10294	4	4
qid	statement_value	Q1029418	1	1
qid	statement_value	Q1029430	2	2
qid	statement_value	Q1029620	1	1
qid	statement_value	Q10296750	1	1
qid	statement_value	Q1029907	1	1
qid	statement_value	Q1030	1	1
qid	statement_value	Q1030037	1	1
qid	statement_value	Q103076	1	1
qid	statement_value	Q10315777	1	1
qid	statement_value	Q103163	1	1
qid	statement_value	Q103184	1	1
qid	statement_value	Q1032	1	1
qid	statement_value	Q1032349	1	1
qid	statement_value	Q10328397	1	1
qid	statement_value	Q1033	3	3
qid	statement_value	Q103350	1	1
qid	statement_value	Q103383087	28	28
qid	statement_value	Q1033951	1	1
qid	statement_value	Q1034411	1	1
qid	statement_value	Q103459	1	1
qid	statement_value	Q103480	1	1
qid	statement_value	Q103495	1	1
qid	statement_value	Q103510	1	1
qid	statement_value	Q1035239	1	1
qid	statement_value	Q103534317	1	1
qid	statement_value	Q103537	1	1
qid	statement_value	Q10359055	1	1
qid	statement_value	Q10359183	1	1
qid	statement_value	Q1035954	1	1
qid	statement_value	Q10359898	1	1
qid	statement_value	Q1036	1	1
qid	statement_value	Q103632	1	1
qid	statement_value	Q1036448	1	1
qid	statement_value	Q1036741	1	1
qid	statement_value	Q1036775	1	1
qid	statement_value	Q1037	1	1
qid	statement_value	Q10374742	1	1
qid	statement_value	Q10374925	1	1
qid	statement_value	Q10379	1	1
qid	statement_value	Q1038	2	2
qid	statement_value	Q103801	1	1
qid	statement_value	Q103808	6	6
qid	statement_value	Q1038097	2	2
qid	statement_value	Q1038119	1	1
qid	statement_value	Q103820137	1	1
qid	statement_value	Q103824	1	1
qid	statement_value	Q10384029	1	1
qid	statement_value	Q10384164	1	1
qid	statement_value	Q103893954	1	1
qid	statement_value	Q103896	1	1
qid	statement_value	Q1039	1	1
qid	statement_value	Q103910	1	1
qid	statement_value	Q103924	1	1
qid	statement_value	Q103984030	1	1
qid	statement_value	Q1040	2	2
qid	statement_value	Q104005460	1	1
qid	statement_value	Q104021	1	1
qid	statement_value	Q104023380	364	363
qid	statement_value	Q104036	1	1
qid	statement_value	Q10404150	1	1
qid	statement_value	Q104083	1	1
qid	statement_value	Q1041	1	1
qid	statement_value	Q1042	1	1
qid	statement_value	Q10420388	1	1
qid	statement_value	Q104212657	1	1
qid	statement_value	Q104219	1	1
qid	statement_value	Q104225	1	1
qid	statement_value	Q1042266	1	1
qid	statement_value	Q10423642	1	1
qid	statement_value	Q104245310	1	1
qid	statement_value	Q10424543	1	1
qid	statement_value	Q10426885	1	1
qid	statement_value	Q10428	1	1
qid	statement_value	Q104280	1	1
qid	statement_value	Q10429564	2	2
qid	statement_value	Q1042979	1	1
qid	statement_value	Q104334	1	1
qid	statement_value	Q104340347	1	1
qid	statement_value	Q1043452	3	3
qid	statement_value	Q10435	1	1
qid	statement_value	Q104363	1	1
qid	statement_value	Q104394	2	2
qid	statement_value	Q1044	1	1
qid	statement_value	Q104412949	1	1
qid	statement_value	Q104418025	1	1
qid	statement_value	Q104418065	2	2
qid	statement_value	Q10443	1	1
qid	statement_value	Q104437152	1	1
qid	statement_value	Q1044528	1	1
qid	statement_value	Q104493	1	1
qid	statement_value	Q104499	1	1
qid	statement_value	Q1045	1	1
qid	statement_value	Q104530232	1	1
qid	statement_value	Q104535352	1	1
qid	statement_value	Q104541	1	1
qid	statement_value	Q104555	1	1
qid	statement_value	Q1045675	1	1
qid	statement_value	Q104585978	1	1
qid	statement_value	Q104597585	3	3
qid	statement_value	Q1046	3	3
qid	statement_value	Q104605901	1	1
qid	statement_value	Q1046315	2	2
qid	statement_value	Q104636031	1	1
qid	statement_value	Q104641	1	1
qid	statement_value	Q10466431	1	1
qid	statement_value	Q1046686	1	1
qid	statement_value	Q104693589	1	1
qid	statement_value	Q10469820	1	1
qid	statement_value	Q1047050	1	1
qid	statement_value	Q104705636	1	1
qid	statement_value	Q1047113	1	1
qid	statement_value	Q104712	1	1
qid	statement_value	Q10475001	1	1
qid	statement_value	Q104771675	1	1
qid	statement_value	Q104776274	1	1
qid	statement_value	Q104777120	1	1
qid	statement_value	Q104787085	1	1
qid	statement_value	Q104787277	1	1
qid	statement_value	Q104787717	1	1
qid	statement_value	Q104803441	2	2
qid	statement_value	Q10481	1	1
qid	statement_value	Q104819	1	1
qid	statement_value	Q104821115	1	1
qid	statement_value	Q104825	1	1
qid	statement_value	Q104828277	1	1
qid	statement_value	Q1048366	1	1
qid	statement_value	Q104837	1	1
qid	statement_value	Q104843	1	1
qid	statement_value	Q10486	1	1
qid	statement_value	Q1048607	1	1
qid	statement_value	Q104869033	1	1
qid	statement_value	Q1049	1	1
qid	statement_value	Q104921786	1	1
qid	statement_value	Q1049294	1	1
qid	statement_value	Q104951136	1	1
qid	statement_value	Q104962	1	1
qid	statement_value	Q1049655	1	1
qid	statement_value	Q1049667	1	1
qid	statement_value	Q1049683	1	1
qid	statement_value	Q104969456	2	2
qid	statement_value	Q104969796	1	1
qid	statement_value	Q10498329	2	2
qid	statement_value	Q105	1	1
qid	statement_value	Q1050	2	2
qid	statement_value	Q1050038	1	1
qid	statement_value	Q10501925	1	1
qid	statement_value	Q1050260	1	1
qid	statement_value	Q105039	1	1
qid	statement_value	Q1050425	1	1
qid	statement_value	Q105047349	1	1
qid	statement_value	Q105047473	1	1
qid	statement_value	Q105062986	1	1
qid	statement_value	Q10508138	2	2
qid	statement_value	Q10509151	1	1
qid	statement_value	Q105095262	1	1
qid	statement_value	Q105098	1	1
qid	statement_value	Q10509939	1	1
qid	statement_value	Q105099779	46	46
qid	statement_value	Q1051130	1	1
qid	statement_value	Q1051530	1	1
qid	statement_value	Q10517054	1	1
qid	statement_value	Q1051798	1	1
qid	statement_value	Q105186	2	2
qid	statement_value	Q10519	1	1
qid	statement_value	Q105190	1	1
qid	statement_value	Q10519151	1	1
qid	statement_value	Q105196	1	1
qid	statement_value	Q105197913	1	1
qid	statement_value	Q1052	1	1
qid	statement_value	Q1052236	1	1
qid	statement_value	Q1052281	1	1
qid	statement_value	Q105236920	1	1
qid	statement_value	Q1052397	1	1
qid	statement_value	Q1052496	1	1
qid	statement_value	Q1052575	1	1
qid	statement_value	Q1053	1	1
qid	statement_value	Q10530101	1	1
qid	statement_value	Q105334701	1	1
qid	statement_value	Q105368	1	1
qid	statement_value	Q10538	1	1
qid	statement_value	Q1053885	1	1
qid	statement_value	Q1053916	1	1
qid	statement_value	Q1054	1	1
qid	statement_value	Q10540773	1	1
qid	statement_value	Q10540834	1	1
qid	statement_value	Q105410756	1	1
qid	statement_value	Q10541289	1	1
qid	statement_value	Q105420	1	1
qid	statement_value	Q105424558	1	1
qid	statement_value	Q105425483	1	1
qid	statement_value	Q105428070	1	1
qid	statement_value	Q105449313	1	1
qid	statement_value	Q105453451	1	1
qid	statement_value	Q105461829	1	1
qid	statement_value	Q1054650	1	1
qid	statement_value	Q10547024	1	1
qid	statement_value	Q10547147	1	1
qid	statement_value	Q1054726	1	1
qid	statement_value	Q10547393	1	1
qid	statement_value	Q10549934	1	1
qid	statement_value	Q1055	5	5
qid	statement_value	Q105507	1	1
qid	statement_value	Q10551045	1	1
qid	statement_value	Q10552108	1	1
qid	statement_value	Q10552154	1	1
qid	statement_value	Q105522	1	1
qid	statement_value	Q10552261	1	1
qid	statement_value	Q1055303	1	1
qid	statement_value	Q105562	1	1
qid	statement_value	Q105571268	614	613
qid	statement_value	Q10559	1	1
qid	statement_value	Q1055911	1	1
qid	statement_value	Q10562733	1	1
qid	statement_value	Q105627457	71	71
qid	statement_value	Q105628811	34	33
qid	statement_value	Q10563	1	1
qid	statement_value	Q1056391	1	1
qid	statement_value	Q1056486	1	1
qid	statement_value	Q10565	1	1
qid	statement_value	Q105650	1	1
qid	statement_value	Q105658318	195	195
qid	statement_value	Q1056617	2	2
qid	statement_value	Q10566551	1	1
qid	statement_value	Q1056662	1	1
qid	statement_value	Q1056737	1	1
qid	statement_value	Q105674	2	2
qid	statement_value	Q105683521	948	947
qid	statement_value	Q1056901	1	1
qid	statement_value	Q1057	2	2
qid	statement_value	Q10571	1	1
qid	statement_value	Q105714288	664	664
qid	statement_value	Q105726	9	9
qid	statement_value	Q1057300	1	1
qid	statement_value	Q1057381	1	1
qid	statement_value	Q105758841	1	1
qid	statement_value	Q10576	1	1
qid	statement_value	Q1057750	1	1
qid	statement_value	Q10578	2	2
qid	statement_value	Q10578722	1	1
qid	statement_value	Q105789	1	1
qid	statement_value	Q105790271	1	1
qid	statement_value	Q10580	1	1
qid	statement_value	Q105825445	1	1
qid	statement_value	Q105839683	1	1
qid	statement_value	Q10586	1	1
qid	statement_value	Q1058617	1	1
qid	statement_value	Q1058762	1	1
qid	statement_value	Q1058791	1	1
qid	statement_value	Q1058795	1	1
qid	statement_value	Q1058800	2	2
qid	statement_value	Q1059	1	1
qid	statement_value	Q105902	1	1
qid	statement_value	Q10591707	2	2
qid	statement_value	Q1059324	1	1
qid	statement_value	Q105943	1	1
qid	statement_value	Q106010	1	1
qid	statement_value	Q1060280	1	1
qid	statement_value	Q1060285	1	1
qid	statement_value	Q106032	1	1
qid	statement_value	Q106039	1	1
qid	statement_value	Q10606293	1	1
qid	statement_value	Q106080	1	1
qid	statement_value	Q1060890	1	1
qid	statement_value	Q106094	1	1
qid	statement_value	Q106106	2	2
qid	statement_value	Q106110777	1	1
qid	statement_value	Q1061108	1	1
qid	statement_value	Q1061140	1	1
qid	statement_value	Q1061151	1	1
qid	statement_value	Q1061157	1	1
qid	statement_value	Q106123	1	1
qid	statement_value	Q1061524	1	1
qid	statement_value	Q10617810	1	1
qid	statement_value	Q1061814	1	1
qid	statement_value	Q10620447	1	1
qid	statement_value	Q10623719	1	1
qid	statement_value	Q1062396	1	1
qid	statement_value	Q106252	1	1
qid	statement_value	Q1062780	1	1
qid	statement_value	Q106300460	1	1
qid	statement_value	Q10631691	1	1
qid	statement_value	Q106321620	1	1
qid	statement_value	Q106333	1	1
qid	statement_value	Q1063547	1	1
qid	statement_value	Q106358009	1	1
qid	statement_value	Q1064192	1	1
qid	statement_value	Q1064669	1	1
qid	statement_value	Q1064762	2	2
qid	statement_value	Q10648343	1	1
qid	statement_value	Q1064858	2	2
qid	statement_value	Q1064904	1	1
qid	statement_value	Q1065	2	2
qid	statement_value	Q10650082	2	2
qid	statement_value	Q106501839	1	1
