internal_id	source_key	lexeme_ids_json	entity_sha256_json	lemma_json	stratum	pinned	source_completeness	gf_fit	inference_confidence	review_status	rejection_reason	residual_api_gap	structural_evidence	genders_json	number_restriction	source_statement_ids_json	source_form_ids_json	combining_forms_json	p5548_evidence_json	diagnostics_json	compared_options	fitting_variants
wdn_000028_N	L252517	["L252517"]	["95f88d5fc8094c7643f45df7b3e16755ce2f95038117bd5bddeec964f20ec57c"]	"Kochsalz"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["neuter"]	singular_only	["L252517$A6E984F4-1E33-4E78-B09E-000BEE76D4BF","L252517$F920588B-884E-43E6-B228-6E0787CE3A2B"]	{"s_sg_acc":["L252517-F4"],"s_sg_dat":["L252517-F3"],"s_sg_gen":["L252517-F2"],"s_sg_nom":["L252517-F1"]}	[]	[]	[]	0	0
wdn_000030_N	L252818	["L252818"]	["e0744cfafb0bcde05097351fd2885dc881daf6fa922c4119fd2a8ebeb9244f5d"]	"Photosynthese"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["feminine"]	singular_only	["L252818$4F3B0611-B237-4FDB-A3CF-4657548660D8","L252818$CDAA9CE6-C8BE-4721-B628-B5FBC77593B4"]	{"s_sg_acc":["L252818-F4"],"s_sg_dat":["L252818-F3"],"s_sg_gen":["L252818-F2"],"s_sg_nom":["L252818-F1"]}	[]	[]	[]	0	0
wdn_000031_N	L267861	["L267861"]	["76f6f943cc52c9538eb5ae4ce6921b8d09a248085cd6d74c7974e32902385496"]	"Astrophysik"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["feminine"]	singular_only	["L267861$15B03EDB-D3E2-42E7-8085-A24FA094D7D9","L267861$17b034cb-4473-0583-13b0-886bc28dec46","L267861$54D998CE-1916-4297-8D46-F1A02A5C49F4","L267861$5ded2f1f-4390-a133-d8eb-698f08d2ffe1"]	{"s_sg_acc":["L267861-F4"],"s_sg_dat":["L267861-F3"],"s_sg_gen":["L267861-F2"],"s_sg_nom":["L267861-F1"]}	[]	[]	[]	0	0
wdn_000034_N	L298781	["L298781"]	["3b5e4dc5cb7503581db84d4a6f64410f967719b44e431d0d6380eb4efe2bbb89"]	"Armut"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	component_target	["feminine"]	singular_only	["L298781$177C93DF-137C-47EC-99AA-049AFC50E636","L298781$A70F45BD-2BBC-4D03-B683-0EC68D2E70E6"]	{"co":["L298781-F5"],"s_sg_acc":["L298781-F4"],"s_sg_dat":["L298781-F3"],"s_sg_gen":["L298781-F2"],"s_sg_nom":["L298781-F1"]}	[{"form_id":"L298781-F5","value":"Armuts"}]	["L298774$621bb0f0-42c3-7fdb-f407-4cbdefba22d1>L298781-F5","L298780$d08dfda2-4a1b-ad0d-c69c-2de0e0372abb>L298781-F5"]	[]	0	0
wdn_000037_N	L347448	["L347448"]	["e8ede7385e6c65a24fc9a425f11f86f2b8d4d0b7318f1abf1d4c042ba4e79e1f"]	"Deutsche"	rejected_feature	no	complete	unrepresentable	unavailable	rejected	unsupported_form_feature		none_recorded	["neuter"]	singular_only	["L347448$0A089E7F-4D6F-4EAF-BC72-1BDAB9C3D8B5","L347448$17193a90-412d-605f-36d7-f6dd6ce2c941","L347448$4A9ADBDB-BA2E-4717-879B-6B7B433310FC"]	{"s_sg_acc":["L347448-F4"],"s_sg_dat":["L347448-F3"],"s_sg_gen":["L347448-F2"],"s_sg_nom":["L347448-F1"]}	[]	[]	["rejected_noun_form_feature"]	0	0
wdn_000038_N	L400201	["L400201"]	["ca6adc82d6b720bdc6260088d5b4b88536dea3219258c1eb82dbe5822e38422a"]	"Erdnussbutter"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["feminine"]	singular_only	["L400201$5cdacc2c-463d-5b4f-6d19-9e51ef7ee47e","L400201$C7052F17-6E89-41E8-8DA0-211BB91F14FE","L400201$aaa35f27-4e2a-50b8-6248-05253f39fda9","L400201$fb45ba13-48fd-6b88-edf2-a58394eb471e"]	{"s_sg_acc":["L400201-F4"],"s_sg_dat":["L400201-F3"],"s_sg_gen":["L400201-F2"],"s_sg_nom":["L400201-F1"]}	[]	[]	[]	0	0
wdn_000040_N	L408360	["L408360"]	["a880277002d7a35498bf3fe38b18fed80991d7f47efd7c1ec28743a480c5548f"]	"Königsallee"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["feminine"]	singular_only	["L408360$1bfa4795-4a2a-9c69-abc3-fa7055b83e77","L408360$2230cbf9-485a-0b30-8d05-a563c46521a1","L408360$440e6bfd-4d3d-b6c2-2462-4cf0d3fc9e71","L408360$6B5F944E-CDAF-4114-9176-7D4175DDF4A9"]	{"s_sg_acc":["L408360-F4"],"s_sg_dat":["L408360-F3"],"s_sg_gen":["L408360-F2"],"s_sg_nom":["L408360-F1"]}	[]	[]	[]	0	0
wdn_000042_N	L482215	["L482215"]	["c3cd7c9bd9698b23b33152cc737a313e203c5f4d41e5a70480abb1f038ae99fa"]	"Musikerziehung"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["feminine"]	singular_only	["L482215$614E9172-A6EA-4A36-84E6-AC951942FF16","L482215$FA2B8CBB-E93D-4554-887D-CB89DE774E4F"]	{"s_sg_acc":["L482215-F4"],"s_sg_dat":["L482215-F3"],"s_sg_gen":["L482215-F2"],"s_sg_nom":["L482215-F1"]}	[]	[]	[]	0	0
wdn_000046_N	L495855	["L495855"]	["b7eba665baec0aa16c1d58886af11d745577b051f77f804dc117a818536fc233"]	"Gleichmaß"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["neuter"]	singular_only	["L495855$1F10F10B-FE22-49A1-9B53-7441380C5241","L495855$5EFDBB83-37F6-473A-A4C3-80B8B68AC42B","L495855$CACD9FA8-2B49-495A-B59A-405E48BA24FF"]	{"s_sg_acc":["L495855-F4"],"s_sg_dat":["L495855-F3"],"s_sg_gen":["L495855-F2"],"s_sg_nom":["L495855-F1"]}	[]	[]	[]	0	0
wdn_000047_N	L500526	["L500526"]	["26aa10f7ee90c3fa4fbb952ee6137dc9f1152b8a85727717ba2787a02d458a38"]	"Magnesium"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["neuter"]	singular_only	["L500526$13B2E12F-34E5-4F10-AB3B-F3DE849E8771","L500526$C0220720-45D5-4D58-9644-E7BFA929B5A7"]	{"s_sg_acc":["L500526-F4"],"s_sg_dat":["L500526-F3"],"s_sg_gen":["L500526-F2"],"s_sg_nom":["L500526-F1"]}	[]	[]	[]	0	0
wdn_000051_N	L593988	["L593988"]	["73179faefc2f609dff627a869f60b73bc95b54ce86a9e0f9df88240758a3acb8"]	"Einbildungskraft"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["feminine"]	singular_only	["L593988$B90D1649-60DC-489C-AF76-DD82893ED0C1","L593988$DD952129-02AE-464B-A418-09558A3878EA"]	{"s_sg_acc":["L593988-F4"],"s_sg_dat":["L593988-F3"],"s_sg_gen":["L593988-F2"],"s_sg_nom":["L593988-F1"]}	[]	[]	[]	0	0
wdn_000053_N	L615405	["L615405"]	["79bdd1b4cd1adccd615577814ae55c7e1e9cdf46eb29a189dbe48dd5571c2840"]	"Stratopause"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	none_recorded	["feminine"]	singular_only	["L615405$12FB426C-115F-457C-8E72-9C1B6A1B8DA2","L615405$BEBD38F6-0D18-4824-B386-FE4EDD3D12B2"]	{"s_sg_acc":["L615405-F4"],"s_sg_dat":["L615405-F3"],"s_sg_gen":["L615405-F2"],"s_sg_nom":["L615405-F1"]}	[]	[]	[]	0	0
wdn_000056_N	L647538	["L647538"]	["c84fe6426a8222e409e4e9c2afc7b3239702bdd1baea720af9e55fd2bb35bf8d"]	"Quai"	multiple_gender	no	complete	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		none_recorded	["masculine","neuter"]	ordinary	["L647538$513E3970-B086-4FCD-9EBC-DF201C42A23A","L647538$ca07c3c1-4a59-30bf-9aba-391043d6c476"]	{"s_pl_acc":["L647538-F8"],"s_pl_dat":["L647538-F7"],"s_pl_gen":["L647538-F6"],"s_pl_nom":["L647538-F5"],"s_sg_acc":["L647538-F4"],"s_sg_dat":["L647538-F3"],"s_sg_gen":["L647538-F2"],"s_sg_nom":["L647538-F1"]}	[]	[]	[]	0	0
wdn_000058_N	L677614	["L677614"]	["e07dff5b744e2e8686d1f167608ad6189ab6e564a8cf0dfcc2059d1e73a16a7a"]	"Radler"	multiple_gender	no	complete	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		component_target	["masculine","neuter"]	ordinary	["L677614$41FD11BB-463F-4EE6-9FE5-B949F8CE211D","L677614$98470254-40b3-af27-06b5-2b616d35323d"]	{"s_pl_acc":["L677614-F8"],"s_pl_dat":["L677614-F7"],"s_pl_gen":["L677614-F6"],"s_pl_nom":["L677614-F5"],"s_sg_acc":["L677614-F4"],"s_sg_dat":["L677614-F3"],"s_sg_gen":["L677614-F2"],"s_sg_nom":["L677614-F1"]}	[]	[]	[]	0	0
wdn_000060_N	L679403	["L679403"]	["a65c127a841e15a8ccfed0b03f161e5729d6fd8ec470270043256a8cb60059aa"]	"Verwandte"	irregular_full	no	complete	unrepresentable	unavailable	rejected	category_mismatch_adjectival_declension		none_recorded	["feminine"]	ordinary	["L679403$1a9c19cc-4ab3-b503-3ccb-62bbd67738c2","L679403$943C79E6-31B9-445E-9710-83DC79B0F883"]	{"s_pl_acc":["L679403-F8"],"s_pl_dat":["L679403-F7"],"s_pl_gen":["L679403-F6"],"s_pl_nom":["L679403-F5"],"s_sg_acc":["L679403-F4"],"s_sg_dat":["L679403-F3"],"s_sg_gen":["L679403-F2"],"s_sg_nom":["L679403-F1"]}	[]	[]	[]	8	0
wdn_000064_N	L754263	["L754263"]	["1c49f8ad5e46e3274afca0819b2dc0cf072155303485c4293402ece00fd00cfe"]	"Cordial Médoc"	multiword	no	none	unrepresentable	unavailable	rejected	multiword_outside_atomic_noun_pilot		none_recorded	["masculine"]	ordinary	["L754263$FE22887D-FD90-4CCE-B893-A30B29ECD148"]	{}	[]	[]	[]	0	0
wdn_000065_N	L754448	["L754448"]	["f74c4581ea49c087bb70e828f1e2b2cbbbe887c20e18e6df5df06542644b686d"]	"Handelsmissbrauch"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L754448$6BFAB67D-6FF0-4A85-9F9E-E6DA0BB854F1"]	{"s_pl_acc":["L754448-F9"],"s_pl_dat":["L754448-F8"],"s_pl_gen":["L754448-F7"],"s_pl_nom":["L754448-F6"],"s_sg_acc":["L754448-F5"],"s_sg_dat":["L754448-F4"],"s_sg_gen":["L754448-F2","L754448-F3"],"s_sg_nom":["L754448-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000070_N	L758266	["L758266"]	["64f460c1e15d13196ce71282fd226509c88cbb1d8f4c81fecf2ebebedd11c2b2"]	"Scheidenvorfall"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L758266$0FA2EFBF-08FE-48EB-8ADE-828D4CA8FB8A"]	{"s_pl_acc":["L758266-F9"],"s_pl_dat":["L758266-F8"],"s_pl_gen":["L758266-F7"],"s_pl_nom":["L758266-F6"],"s_sg_acc":["L758266-F5"],"s_sg_dat":["L758266-F4"],"s_sg_gen":["L758266-F2","L758266-F3"],"s_sg_nom":["L758266-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000074_N	L761786	["L761786"]	["f511453517884b2fc0cd9b34c5a18314547e289ddbb7b7af85a69eb1f318ef0c"]	"Recalltest"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L761786$73B2276A-C460-4C8C-A141-AA266C636666"]	{"s_pl_acc":["L761786-F12","L761786-F13"],"s_pl_dat":["L761786-F10","L761786-F11"],"s_pl_gen":["L761786-F8","L761786-F9"],"s_pl_nom":["L761786-F6","L761786-F7"],"s_sg_acc":["L761786-F5"],"s_sg_dat":["L761786-F4"],"s_sg_gen":["L761786-F2","L761786-F3"],"s_sg_nom":["L761786-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000075_N	L762764	["L762764"]	["497b7e0ee4ea70198c21228d865129dd276abf6b8ed4884c12033461899d7547"]	"Big Point"	multiword	no	none	unrepresentable	unavailable	rejected	multiword_outside_atomic_noun_pilot		none_recorded	["masculine"]	ordinary	["L762764$0CD639C2-FC4B-48B6-8D10-9B9B62FD7DD0"]	{}	[]	[]	[]	0	0
wdn_000076_N	L762817	["L762817"]	["1050606a9d5475aab399e5564a31a96f078c4f6e4c36ead4f007052dfe684e10"]	"Linienball"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L762817$D9398E45-8A56-43B6-8C8F-C1ACBCAC5ADE"]	{"s_pl_acc":["L762817-F9"],"s_pl_dat":["L762817-F8"],"s_pl_gen":["L762817-F7"],"s_pl_nom":["L762817-F6"],"s_sg_acc":["L762817-F5"],"s_sg_dat":["L762817-F4"],"s_sg_gen":["L762817-F2","L762817-F3"],"s_sg_nom":["L762817-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000079_N	L765773	["L765773"]	["a3e219512ab4106879fab4ec6f357539f7e0455e9046fe547e3ae4d4fe4f7284"]	"Ökoaudit"	multiple_gender	no	complete	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		none_recorded	["masculine","neuter"]	ordinary	["L765773$4CE79D93-4C68-4304-ABD0-A7155294EC19","L765773$8DFD01FF-2322-4FDA-A53D-6991B65B9795"]	{"s_pl_acc":["L765773-F8"],"s_pl_dat":["L765773-F7"],"s_pl_gen":["L765773-F6"],"s_pl_nom":["L765773-F5"],"s_sg_acc":["L765773-F4"],"s_sg_dat":["L765773-F3"],"s_sg_gen":["L765773-F2"],"s_sg_nom":["L765773-F1"]}	[]	[]	[]	0	0
wdn_000080_N	L766701	["L766701"]	["62a0fb96d3e1c72a55047c3194c582b6925e5189d0c23ceda214f19522f34e90"]	"Selbstständige"	multiple_gender	no	none	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		none_recorded	["feminine","masculine"]	ordinary	["L766701$2CD379B3-64BE-4FC5-A633-30894CC2AFF4","L766701$FC1B5961-F79C-4C33-A561-EBB3E26EC202"]	{}	[]	[]	[]	0	0
wdn_000084_N	L768579	["L768579"]	["b0c0837d76f7f2201f4917b5136dc534aa0d8e2a66a3c28a43838dd76baae961"]	"Mixed Pickles"	multiword	no	none	unrepresentable	unavailable	rejected	multiword_outside_atomic_noun_pilot		none_recorded	[]	plural_only	["L768579$611F88BD-A7F7-4D13-988A-061A263DCE14"]	{}	[]	[]	["missing_gender"]	0	0
wdn_000085_N	L768624	["L768624"]	["fe652f5c6b5d9752184d25c7bba6cd8370b46b606caef297d9b757ffa89dd28d"]	"Miles gloriosus"	multiword	no	none	unrepresentable	unavailable	rejected	multiword_outside_atomic_noun_pilot		none_recorded	["masculine"]	ordinary	["L768624$E11CD5B3-A289-4E3C-8867-44C2D2F51932"]	{}	[]	[]	[]	0	0
wdn_000089_N	L773673	["L773673"]	["c71be69b58ff280101430c0c08f2bf7385b3b58cddb83707bb531fa72e14e65e"]	"Milliliter"	multiple_gender	no	none	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		none_recorded	["masculine","neuter"]	ordinary	["L773673$826CD76D-DF54-4234-92A1-CA20FC8F3B62","L773673$B9DF05FC-0E96-4762-9484-CFE9B40E847C"]	{}	[]	[]	[]	0	0
wdn_000091_N	L774626	["L774626"]	["2b0cca4073828317dbaaf426cb2fe8b95414cc44383eea0d19f4881113ed903e"]	"Geografielehrer"	rejected_feature	no	conflicting	unrepresentable	unavailable	rejected	unsupported_form_feature		explicit_compound_analysis	["masculine"]	ordinary	["L774626$535818C3-4D1A-4DCD-AD6D-584FECB3AF63","L774626$B0AAB417-C0D2-4ABF-BAA2-5428CCDB252A","L774626$B7F0AB8A-810A-4EE5-A7FA-3ED548231791"]	{"s_pl_acc":["L774626-F16","L774626-F8"],"s_pl_dat":["L774626-F15","L774626-F7"],"s_pl_gen":["L774626-F14","L774626-F6"],"s_pl_nom":["L774626-F13","L774626-F5"],"s_sg_acc":["L774626-F12","L774626-F4"],"s_sg_dat":["L774626-F11","L774626-F3"],"s_sg_gen":["L774626-F10","L774626-F2"],"s_sg_nom":["L774626-F1","L774626-F9"]}	[]	[]	["conflicting_slots","rejected_noun_form_feature"]	0	0
wdn_000093_N	L774998	["L774998"]	["7b51c53df696de3ec50ac644d31cdb7cac17a7f940cc64a60f9d899a444f240d"]	"Wirtschaftskreislauf"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L774998$16E880A9-84D8-4029-A15B-DE3815695A47"]	{"s_pl_acc":["L774998-F9"],"s_pl_dat":["L774998-F8"],"s_pl_gen":["L774998-F7"],"s_pl_nom":["L774998-F6"],"s_sg_acc":["L774998-F5"],"s_sg_dat":["L774998-F4"],"s_sg_gen":["L774998-F2","L774998-F3"],"s_sg_nom":["L774998-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000095_N	L775202	["L775202"]	["4d020d35a823ef0a3383c3edfb9a9cd203e342869e7e9295d022f85230997e48"]	"Wiederholungszwang"	conflicting_slots	no	conflicting	unrepresentable	unavailable	rejected	conflicting_source_slots		none_recorded	["masculine"]	ordinary	["L775202$C8751D77-F373-48F2-B31D-EC44FD0DCD3D"]	{"s_pl_acc":["L775202-F9"],"s_pl_dat":["L775202-F8"],"s_pl_gen":["L775202-F7"],"s_pl_nom":["L775202-F6"],"s_sg_acc":["L775202-F5"],"s_sg_dat":["L775202-F4"],"s_sg_gen":["L775202-F2","L775202-F3"],"s_sg_nom":["L775202-F1"]}	[]	[]	["conflicting_slots"]	0	0
wdn_000097_N	L775738	["L775738"]	["ce5b3bec568bc953962fc2e8a5e6811537d30ea198c5bf97e39afcba06a404dd"]	"Topinambur"	multiple_gender	no	partial	unrepresentable	unavailable	rejected	unresolved_multiple_gender_alternatives		none_recorded	["feminine","masculine"]	ordinary	["L775738$4C5F8BBB-21D5-4C60-9338-0E4F610CF3D1","L775738$5B2E6F52-917A-4340-A87E-5F5BD4975E27"]	{"s_sg_acc":["L775738-F4"],"s_sg_dat":["L775738-F3"],"s_sg_gen":["L775738-F2"],"s_sg_nom":["L775738-F1"]}	[]	[]	[]	0	0
